id_leggo,id_camara,id_senado,id_autor_parlametria,id_autor
1db364484a7f086878f6889f701dc1c8,2190563,None,1204530,204530
ba86ca0ec1b9cac47e8fc1a402f98123,2191516,None,1204468,204468
f29ba97553271eb6c3614b3586b70a23,2190945,None,1178832,178832
09cf44cab51a171d95f9a8c13c8e41a1,2192045,None,1204530,204530
6cc5712941a966b02388832f5fcfd261,2192260,None,1204479,204479
1ab02e83a22f3dd9adcf2c2990e54580,2192507,None,174075,74075
eebe22cd305ac44bf5ac393df7fc0611,2193334,None,1204524,204524
3437d8e58cb12e91bfdf9a68cb410e3a,2195320,None,1204403,204403
e90ae19faed22ce91a296620e32cc31d,2195635,None,1204439,204439
988ac26a342b84735dd76f469c3f003e,2214203,None,174356,74356
52098ae3b1c88eecc13d3d47b3db9181,2219094,None,1141523,141523
74a59c48b1cd5947280dcd1c7fbbafaf,2224224,None,1204566,204566
3f99f9f7b32cf7cbd0d05a48a598beb8,2224664,None,1204468,204468
aedcc562e73ec3b768d52bdcaebe11d4,2224581,None,1204543,204543
aedcc562e73ec3b768d52bdcaebe11d4,2224581,None,1204530,204530
fd413bbecb633683a6761f80be9181f0,2226717,None,1204573,204573
233afc93fd30fe6ebf3775a8c5373a53,2227140,None,1141470,141470
993ef0e756b19e1a5f2364c9703b5a9f,2227211,None,1178986,178986
f2308afbb4f44c3c692f6b3ce2597131,2227505,None,1204572,204572
75f8f0e82ea3cd2bf81a44349b715026,2228130,None,1178908,178908
d4f76cc1a0e7a440afe4ce683eb2c315,2229725,None,378,78
6da06eadf78db985f2c5ad85041daadd,2229754,None,1204471,204471
ea2f2a742e6a30b9ef3476eb883cee96,2231711,None,1204495,204495
ab2d10c0a65bdb4b323ac2a4c252d80b,2231774,None,1204500,204500
370f372b97e8465f1b970cb588b7dec4,2232027,None,1178984,178984
4b69853c0c0f48dbb3ab7ea05f910e98,2231918,None,1160511,160511
4b69853c0c0f48dbb3ab7ea05f910e98,2231918,None,1204561,204561
4b69853c0c0f48dbb3ab7ea05f910e98,2231918,None,1204352,204352
4b69853c0c0f48dbb3ab7ea05f910e98,2231918,None,1204393,204393
4b69853c0c0f48dbb3ab7ea05f910e98,2231918,None,1204394,204394
4b69853c0c0f48dbb3ab7ea05f910e98,2231918,None,1204429,204429
4b69853c0c0f48dbb3ab7ea05f910e98,2231918,None,1204468,204468
4b69853c0c0f48dbb3ab7ea05f910e98,2231918,None,1139285,139285
